	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)
		1	1	1	1	2	2	2	2	3	3	3	3	6	6	6	6
		no tr	tr	no tr	tr	no tr	tr	no tr	tr	no tr	tr	no tr	tr	no tr	tr	no tr	tr
		no w	no w	w	w	no w	no w	w	w	no w	no w	w	w	no w	no w	w	w
VARIABLES	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate
																	
		(0.49)	(722.59)	(0.53)	(676.77)	(0.27)	(376.50)	(0.26)	(326.23)	(0.06)	(112.69)	(0.10)	(131.32)	(0.17)	(274.01)	(0.19)	(211.06)
_Istate_18		-17.51	-2,577.56	-16.54	-2,758.34	-2.60	-807.49	-2.49	-797.86	1.52	-300.99	1.86	-434.46	-4.74	-554.68	-4.47	-703.85
		(1.86)	(696.65)	(1.94)	(640.03)	(1.01)	(362.99)	(0.96)	(308.31)	(0.24)	(108.64)	(0.36)	(124.43)	(0.64)	(264.17)	(0.73)	(200.24)
_Istate_19		-20.04	-416.07	-20.29	-503.95	5.22	1,674.21	5.29	1,639.37	2.09	-657.76	1.81	-712.69	-8.88	-832.06	-8.89	-873.66
		(1.33)	(357.82)	(1.29)	(345.14)	(0.72)	(186.44)	(0.64)	(166.10)	(0.17)	(55.80)	(0.26)	(68.81)	(0.46)	(135.69)	(0.51)	(106.91)
_Istate_20		-18.54	-4,079.72	-19.19	-4,369.74	-3.30	-702.16	-3.19	-765.37	3.16	-782.56	2.63	-901.69	-9.08	-1,538.78	-9.28	-1,705.25
		(2.73)	(701.75)	(2.66)	(649.77)	(1.49)	(365.64)	(1.31)	(312.83)	(0.35)	(109.44)	(0.52)	(127.38)	(0.94)	(266.11)	(1.05)	(203.32)
_Istate_21		-4.34	-3,688.37	-3.16	-3,875.64	2.85	-749.89	2.92	-774.76	1.91	-384.34	2.30	-505.79	-3.47	-1,075.46	-3.05	-1,231.53
		(1.86)	(696.65)	(1.94)	(633.80)	(1.01)	(362.99)	(0.95)	(306.00)	(0.24)	(108.64)	(0.37)	(123.03)	(0.64)	(264.17)	(0.75)	(196.56)
_Istate_22		9.56	-5,713.51	9.52	-5,803.51	-5.83	-3,925.69	-5.24	-3,979.00	2.49	-876.31	2.10	-988.08	-1.70	-282.01	-1.92	-351.35
		(2.73)	(701.75)	(2.66)	(632.52)	(1.49)	(365.64)	(1.31)	(305.51)	(0.35)	(109.44)	(0.51)	(121.31)	(0.94)	(266.11)	(1.02)	(195.88)
_Istate_23		-14.12	-3,936.16	-13.73	-4,162.50	10.26	-2,107.19	10.71	-2,016.07	5.17	-18.86	4.99	-219.14	-10.91	-1,092.56	-10.82	-1,388.27
		(0.83)	(994.39)	(0.74)	(930.04)	(0.45)	(518.12)	(0.37)	(448.82)	(0.11)	(155.07)	(0.14)	(178.42)	(0.29)	(377.08)	(0.29)	(289.24)
_Istate_24		-23.12	-859.42	-23.38	-881.94	-18.89	-2,310.93	-18.54	-2,295.35	2.07	337.39	1.83	345.10	1.52	232.84	1.33	233.57
		(1.14)	(137.74)	(1.16)	(112.65)	(0.62)	(71.77)	(0.57)	(54.39)	(0.15)	(21.48)	(0.22)	(22.34)	(0.39)	(52.23)	(0.46)	(33.48)
