	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
		1	2	3	6	1	2	3	6
		no t	no t	no t	no t	t	t	t	t
VARIABLES	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate
									
_Istate_29		-0.01	6.13	-0.29	-4.71	-3,013.20	3,503.26	-1,623.64	-2,663.82
		(7.26)	(4.24)	(1.36)	(2.50)	(4,072.49)	(2,554.93)	(1,114.74)	(1,494.20)
_Istate_30		63.07	53.98	7.84	-7.01	-4,693.34	1,079.11	-1,775.70	-3,360.84
		(6.92)	(4.13)	(1.20)	(2.32)	(3,941.87)	(2,465.54)	(1,080.63)	(1,430.13)
_Istate_31		-14.50	9.21	-1.78	-8.21	-1,943.27	3,672.90	-867.55	-2,519.08
		(6.90)	(4.12)	(1.22)	(2.32)	(4,012.80)	(2,517.85)	(1,097.58)	(1,474.26)
_Istate_32		92.43	56.00	15.80	-0.94	6,224.00	8,389.86	-1,656.67	-1,190.61
		(7.19)	(4.20)	(1.35)	(2.48)	(3,987.49)	(2,501.71)	(1,091.27)	(1,463.53)
_Istate_33		-22.08	0.68	4.17	-13.69	-4,822.06	695.30	-786.75	-4,287.26
		(6.29)	(3.75)	(1.11)	(2.12)	(3,993.96)	(2,504.07)	(1,094.80)	(1,460.05)
_Istate_34		-38.62	-17.95	-3.48	-3.57	-2,791.34	507.58	-1,248.32	-1,081.24
		(8.28)	(4.95)	(1.43)	(2.78)	(4,164.24)	(2,605.99)	(1,141.89)	(1,512.83)
_Istate_35		68.13	47.14	12.56	-0.54	-1,036.75	2,884.41	-2,805.63	-2,659.95
		(6.83)	(3.99)	(1.28)	(2.35)	(3,977.56)	(2,495.49)	(1,088.53)	(1,459.94)
_Istate_36		-27.21	-24.77	-3.24	5.35	-1,651.75	557.20	-1,355.04	1,031.50
		(8.72)	(5.21)	(1.44)	(2.91)	(4,089.91)	(2,566.45)	(1,117.93)	(1,504.15)
_Istate_37		-12.52	-0.13	1.32	-6.34	-242.95	74.68	6.23	-1,345.80
		(2.76)	(1.51)	(0.35)	(0.95)	(699.43)	(378.93)	(109.49)	(256.96)
_Istate_38		3.45	16.36	4.75	-6.60	-1,241.81	4,262.07	-2,044.79	-2,221.28
		(5.71)	(3.31)	(1.07)	(1.97)	(3,110.51)	(1,952.04)	(848.41)	(1,147.09)
_Istate_39		-32.64	-17.27	-0.08	-1.21	-4,662.72	1,459.85	-1,613.45	-3,141.11
		(8.17)	(4.88)	(1.34)	(2.72)	(3,775.83)	(2,369.56)	(1,030.40)	(1,391.63)
_Istate_40		1.34	5.65	4.71	-4.46	-8,510.28	-3,445.11	-1,406.36	-1,519.05
		(3.42)	(2.04)	(0.60)	(1.15)	(1,826.01)	(1,126.18)	(490.47)	(649.39)
_Istate_41		3.54	9.50	3.58	-6.32	-3,055.66	1,891.84	-1,587.82	-2,523.15
		(7.21)	(4.21)	(1.35)	(2.48)	(4,385.28)	(2,750.70)	(1,201.03)	(1,607.06)
_Istate_42		-28.65	-9.79	-0.22	-6.37	-4,996.81	211.32	-1,362.64	-2,473.64
		(6.91)	(4.03)	(1.29)	(2.38)	(3,768.35)	(2,364.47)	(1,030.72)	(1,384.46)
_Istate_44		-54.64	-21.34	-0.81	-12.13	-4,085.81	981.02	-1,061.86	-1,776.51
		(7.83)	(4.68)	(1.35)	(2.62)	(3,893.63)	(2,442.14)	(1,066.57)	(1,426.29)
_Istate_45		-18.16	-9.00	2.47	-5.17	-289.90	-2,012.56	255.00	-693.04
		(4.08)	(2.26)	(0.74)	(1.44)	(2,181.69)	(1,324.14)	(566.72)	(767.05)
_Istate_46		-6.56	14.11	0.93	-11.49	2,047.48	8,943.16	-2,015.17	-3,585.53
		(7.30)	(4.36)	(1.19)	(2.43)	(3,510.63)	(2,201.16)	(962.25)	(1,283.67)
_Istate_47		9.03	12.19	0.18	-0.92	-2,517.52	2,142.85	-1,207.26	-2,018.18
		(7.29)	(4.36)	(1.23)	(2.43)	(3,597.27)	(2,256.96)	(984.34)	(1,320.65)
_Istate_48		8.75	2.68	2.17	-2.10	-7,210.64	-999.63	-1,618.47	-1,404.57
		(6.34)	(3.79)	(1.08)	(2.12)	(3,215.32)	(2,008.20)	(880.45)	(1,162.82)
_Istate_49		-17.65	0.48	1.41	-7.15	-3,533.16	2,480.90	-1,528.18	-3,202.58
		(6.03)	(3.50)	(1.13)	(2.08)	(3,781.63)	(2,372.79)	(1,034.39)	(1,389.25)
_Istate_50		-13.78	10.43	5.28	-14.39	-3,742.51	1,789.61	-1,574.40	-3,791.76
		(5.38)	(3.20)	(0.85)	(1.79)	(2,426.12)	(1,519.21)	(665.38)	(882.92)
_Istate_51		-28.56	-7.84	1.64	-11.78	-1,302.31	2,504.07	-988.60	-2,310.54
		(5.34)	(3.19)	(0.90)	(1.78)	(3,353.33)	(2,085.17)	(913.24)	(1,203.82)
_Istate_53		-6.39	7.61	0.90	-7.24	-5,113.72	1,051.09	-1,100.69	-2,794.93
		(7.31)	(4.27)	(1.37)	(2.52)	(4,217.70)	(2,645.82)	(1,154.82)	(1,546.59)
_Istate_54		-2.95	6.97	-1.25	-4.47	-3,893.33	21.38	-2,183.56	-1,227.26
		(6.82)	(4.06)	(1.08)	(2.26)	(2,969.63)	(1,863.55)	(808.79)	(1,096.86)
_Istate_55		-20.42	3.30	2.97	-10.61	-4,205.00	2,670.28	-2,771.97	-2,100.16
		(8.48)	(5.06)	(1.39)	(2.82)	(3,892.38)	(2,442.19)	(1,064.93)	(1,429.39)
_Istate_56		93.37	80.89	5.55	-10.18	4,139.67	6,260.79	-1,939.85	-2,841.30
		(8.21)	(4.89)	(1.46)	(2.77)	(4,283.11)	(2,677.03)	(1,173.58)	(1,551.33)
year						-4.75	-0.36	-0.51	-2.26
						(2.15)	(1.33)	(0.57)	(0.77)
_IstaXyear_2						2.12	1.56	0.34	1.12
						(1.28)	(0.80)	(0.35)	(0.47)
_IstaXyear_4						-2.01	-2.39	0.37	0.76
						(1.90)	(1.19)	(0.52)	(0.69)
_IstaXyear_5						-0.73	-1.44	0.61	0.39
						(1.56)	(0.98)	(0.42)	(0.57)
_IstaXyear_6						1.53	-0.55	-0.09	1.36
						(2.06)	(1.29)	(0.56)	(0.76)
_IstaXyear_8						1.77	-0.11	0.50	1.18
						(2.05)	(1.29)	(0.56)	(0.75)
_IstaXyear_9						4.19	0.15	0.95	1.45
						(1.91)	(1.20)	(0.52)	(0.69)
_IstaXyear_10						2.76	0.57	1.07	1.42
						(1.96)	(1.23)	(0.54)	(0.71)
_IstaXyear_11						-1.57	-0.12	0.70	-1.33
						(1.92)	(1.21)	(0.53)	(0.71)
_IstaXyear_12						1.58	0.04	0.56	0.83
						(1.43)	(0.89)	(0.39)	(0.52)
_IstaXyear_13						-1.96	-1.50	0.21	0.42
						(0.88)	(0.55)	(0.24)	(0.32)
o._IstaXyear_15						-	-	-	-
									
_IstaXyear_16						-0.02	-2.30	0.53	1.72
						(1.60)	(1.00)	(0.44)	(0.59)
_IstaXyear_17						1.58	-0.80	0.63	0.63
						(1.94)	(1.21)	(0.53)	(0.71)
_IstaXyear_18						1.74	-1.23	0.89	0.97
						(1.97)	(1.23)	(0.54)	(0.72)
_IstaXyear_19						0.55	-2.26	0.97	0.99
						(1.69)	(1.06)	(0.46)	(0.62)
_IstaXyear_20						2.46	-1.07	1.04	1.38
						(1.72)	(1.08)	(0.47)	(0.63)
_IstaXyear_21						2.30	-1.19	0.91	1.21
						(1.89)	(1.19)	(0.52)	(0.70)
_IstaXyear_22						3.16	1.25	0.78	0.48
						(0.92)	(0.57)	(0.24)	(0.34)
_IstaXyear_23						2.36	-0.00	0.50	1.05
						(1.34)	(0.84)	(0.36)	(0.50)
_IstaXyear_24						0.77	-0.61	0.63	0.55
						(2.13)	(1.33)	(0.58)	(0.77)
_IstaXyear_25						1.65	-0.80	0.51	1.08
						(1.92)	(1.20)	(0.53)	(0.70)
_IstaXyear_26						0.11	-0.75	0.44	0.39
						(1.44)	(0.90)	(0.38)	(0.54)
_IstaXyear_27						0.74	-1.65	0.69	1.46
						(1.76)	(1.10)	(0.48)	(0.64)
_IstaXyear_28						0.94	-0.13	0.12	0.65
						(0.52)	(0.32)	(0.12)	(0.20)
_IstaXyear_29						1.52	-1.76	0.82	1.34
						(2.05)	(1.28)	(0.56)	(0.75)
_IstaXyear_30						2.40	-0.51	0.90	1.69
						(1.98)	(1.24)	(0.54)	(0.72)
_IstaXyear_31						0.97	-1.84	0.43	1.27
						(2.02)	(1.27)	(0.55)	(0.74)
_IstaXyear_32						-3.11	-4.21	0.84	0.60
						(2.00)	(1.26)	(0.55)	(0.74)
_IstaXyear_33						2.43	-0.34	0.40	2.16
						(2.01)	(1.26)	(0.55)	(0.73)
_IstaXyear_34						1.39	-0.26	0.63	0.54
						(2.09)	(1.31)	(0.57)	(0.76)
_IstaXyear_35						0.56	-1.43	1.42	1.34
						(2.00)	(1.25)	(0.55)	(0.73)
_IstaXyear_36						0.82	-0.28	0.68	-0.52
						(2.06)	(1.29)	(0.56)	(0.76)
_IstaXyear_37						0.12	-0.04	-0.00	0.68
						(0.35)	(0.19)	(0.06)	(0.13)
_IstaXyear_38						0.63	-2.14	1.03	1.12
						(1.56)	(0.98)	(0.43)	(0.58)
_IstaXyear_39						2.34	-0.74	0.81	1.59
						(1.90)	(1.19)	(0.52)	(0.70)
_IstaXyear_40						4.31	1.75	0.71	0.76
						(0.92)	(0.57)	(0.25)	(0.33)
_IstaXyear_41						1.54	-0.94	0.80	1.27
						(2.21)	(1.38)	(0.60)	(0.81)
_IstaXyear_42						2.51	-0.10	0.69	1.24
						(1.89)	(1.19)	(0.52)	(0.70)
_IstaXyear_44						2.04	-0.50	0.53	0.89
						(1.96)	(1.23)	(0.54)	(0.72)
_IstaXyear_45						0.14	1.01	-0.13	0.35
						(1.10)	(0.67)	(0.28)	(0.39)
_IstaXyear_46						-1.04	-4.51	1.02	1.81
						(1.76)	(1.11)	(0.48)	(0.65)
_IstaXyear_47						1.28	-1.07	0.61	1.02
						(1.81)	(1.13)	(0.49)	(0.66)
_IstaXyear_48						3.65	0.51	0.82	0.71
						(1.62)	(1.01)	(0.44)	(0.58)
_IstaXyear_49						1.78	-1.25	0.77	1.61
						(1.90)	(1.19)	(0.52)	(0.70)
_IstaXyear_50						1.89	-0.89	0.80	1.91
						(1.22)	(0.76)	(0.33)	(0.44)
_IstaXyear_51						0.64	-1.26	0.50	1.16
						(1.69)	(1.05)	(0.46)	(0.61)
_IstaXyear_53						2.58	-0.52	0.55	1.41
						(2.12)	(1.33)	(0.58)	(0.78)
_IstaXyear_54						1.97	0.00	1.10	0.62
						(1.49)	(0.94)	(0.41)	(0.55)
_IstaXyear_55						2.11	-1.34	1.40	1.05
						(1.96)	(1.23)	(0.54)	(0.72)
_IstaXyear_56						-2.05	-3.12	0.98	1.43
						(2.15)	(1.35)	(0.59)	(0.78)
_Iyear_1971		-6.11	-3.86	1.96	-2.20	-2.60	-2.38	1.71	-1.02
		(3.08)	(2.31)	(0.94)	(1.28)	(3.07)	(2.29)	(0.95)	(1.30)
_Iyear_1972		-6.01	-0.72	1.03	-3.57	1.11	2.21	0.56	-1.13
		(3.09)	(1.69)	(0.96)	(1.35)	(3.06)	(1.86)	(0.96)	(1.34)
_Iyear_1973		-4.89	-1.88	2.42	-5.59	5.78	2.86	1.61	-1.98
		(3.43)	(1.49)	(0.94)	(1.53)	(3.22)	(1.39)	(0.97)	(1.46)
_Iyear_1974		-14.27	-10.84	3.30	-6.43	-0.19	-4.03	2.02	-1.81
		(4.32)	(2.82)	(1.10)	(1.69)	(4.24)	(2.63)	(0.96)	(1.62)
_Iyear_1975		-19.63	-13.69	4.02	-7.40	-2.14	-5.10	2.36	-1.72
		(4.07)	(2.44)	(1.09)	(1.52)	(3.55)	(2.21)	(0.93)	(1.37)
_Iyear_1976		-23.77	-9.37	2.69	-11.93	-2.80	0.73	0.77	-5.10
		(4.21)	(2.60)	(0.91)	(1.80)	(4.13)	(2.47)	(0.68)	(1.44)
_Iyear_1977		-21.06	-7.64	5.36	-12.36	3.39	3.93	3.18	-4.35
		(4.20)	(2.50)	(1.08)	(1.42)	(3.26)	(1.94)	(0.96)	(1.14)
_Iyear_1978		-23.02	-7.43	3.07	-11.96	4.85	5.76	0.56	-2.87
		(5.03)	(2.77)	(0.89)	(1.67)	(4.25)	(1.98)	(0.63)	(1.21)
_Iyear_1979		-22.30	-6.80	4.26	-14.66	8.90	8.14	1.36	-4.57
		(4.71)	(2.94)	(0.97)	(1.89)	(3.91)	(2.26)	(0.63)	(1.41)
_Iyear_1980		-20.30	-7.11	4.75	-13.48	14.22	9.62	1.45	-2.38
		(4.75)	(2.73)	(0.94)	(2.17)	(4.40)	(2.49)	(0.93)	(1.78)
_Iyear_1981		-33.66	-12.07	4.64	-15.38	4.31	6.16	1.06	-3.15
		(3.95)	(2.95)	(1.16)	(1.51)	(3.36)	(2.70)	(1.05)	(1.28)
_Iyear_1982		-42.05	-18.53	3.37	-15.42	-0.61	1.12	-0.46	-2.03
		(4.60)	(3.11)	(1.06)	(1.85)	(3.25)	(2.21)	(1.00)	(1.21)
o._Iyear_1983						-	-	-	-
									
o._Iyear_1984		-	-	-	-	-	-	-	-
									
o._Iyear_1985		-	-	-	-	-	-	-	-
									
o._Iyear_1986		-	-	-	-	-	-	-	-
									
o._Iyear_1987		-	-	-	-	-	-	-	-
									
o._Iyear_1988		-	-	-	-	-	-	-	-
									
