age,fe
17,8.39398608370409
18,8.909062212272902
19,9.26231348337744
20,9.523042052661634
21,9.678294162860992
22,9.807930386448845
23,9.896747901402167
24,10.009315105706959
25,10.11202082608616
26,10.176094295453805
27,10.214406385612877
28,10.266128146952873
29,10.298321881878538
30,10.32045942714843
31,10.366533826808766
32,10.371968484918668
33,10.39715358414057
34,10.425334287890898
35,10.446510065413158
36,10.466852081089277
37,10.48672261238743
38,10.481556664732851
39,10.515468342914334
40,10.514756152798304
41,10.545619540452089
42,10.541217783849868
43,10.55187478336052
44,10.556066898488845
45,10.564889444657059
46,10.547597586837384
47,10.549584814030155
48,10.557816450146975
49,10.559427894371659
50,10.563463079920636
51,10.556383423345638
52,10.541001347611289
53,10.536499542486778
54,10.524174180843685
55,10.503299008932549
56,10.46647688835667
57,10.453118399189362
58,10.445860949470022
59,10.395435840587334
60,10.376697786688311
61,10.30447772129842
62,10.255945825648253
63,10.188744391807317
64,10.089665400674386
65,10.02710140382083
66,9.920204482104923
67,9.85228507063755
68,9.77462708968495
69,9.726667385917318
70,9.715221833175002
71,9.676260552114618
72,9.613737993660834
73,9.624268807468747
74,9.50978251947324
75,9.536899283652344
76,9.503894546180259
77,9.481955218319031
78,9.455006420883116
79,9.438185053118247
80,9.385023327619509
81,9.415589127348968
82,9.358371974632298
83,9.327087711298706
84,9.308540197856098
85,9.279861931723223
86,9.301990386025723
87,9.267584482577695
88,9.25173987181964
89,9.299038262873852
90,9.306327286815833
91,9.221523951308447
92,9.134528407884051
93,9.319503012535588
94,9.167541880532996
95,9.09690806742129
96,9.50840050592466
97,8.913236582499545
98,9.412847028967164
99,8.864013566345312
100,10.373541106697921
